Wavelength,FluxDens1,FluxDens2,r_a,r_b,T_r,N_r,pix,res,dis,,,,,,,,
4.20704,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20706,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20708,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2071,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20712,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20714,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20716,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20718,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2072,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20722,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20724,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20726,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20728,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2073,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20732,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20734,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20736,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20738,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2074,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20742,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20744,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20746,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20748,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2075,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20752,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20754,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20756,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20758,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2076,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20762,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20764,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20766,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20768,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2077,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20772,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20774,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20776,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20778,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2078,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20782,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20784,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20786,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20788,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2079,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20792,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20794,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20796,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20798,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.208,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20802,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20804,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
